component	type	description	status	status_description	annotate_method	annotate_author	ic_type	pred_prob
0	ica	Independent Component	bad	n/a	iclabel	n/a	eye blink	0.851855993270874
1	ica	Independent Component	bad	n/a	iclabel	n/a	muscle artifact	0.6464329957962036
2	ica	Independent Component	bad	n/a	iclabel	n/a	eye blink	0.968478798866272
3	ica	Independent Component	good	n/a	iclabel	n/a	brain	0.31014758348464966
4	ica	Independent Component	good	n/a	iclabel	n/a	brain	0.953548789024353
5	ica	Independent Component	bad	n/a	iclabel	n/a	line noise	0.8518396615982056
6	ica	Independent Component	good	n/a	iclabel	n/a	other	0.34343910217285156
7	ica	Independent Component	good	n/a	iclabel	n/a	other	0.3656693398952484
8	ica	Independent Component	bad	n/a	iclabel	n/a	muscle artifact	0.6977167725563049
9	ica	Independent Component	good	n/a	iclabel	n/a	other	0.959423303604126
10	ica	Independent Component	good	n/a	iclabel	n/a	other	0.538280189037323
11	ica	Independent Component	good	n/a	iclabel	n/a	other	0.4985087513923645
12	ica	Independent Component	bad	n/a	iclabel	n/a	muscle artifact	0.9823720455169678
13	ica	Independent Component	good	n/a	iclabel	n/a	brain	0.605241596698761
14	ica	Independent Component	good	n/a	iclabel	n/a	other	0.6329622268676758
15	ica	Independent Component	good	n/a	iclabel	n/a	other	0.882979154586792
16	ica	Independent Component	bad	n/a	iclabel	n/a	line noise	0.935231626033783
17	ica	Independent Component	bad	n/a	iclabel	n/a	line noise	0.4285108745098114
18	ica	Independent Component	good	n/a	iclabel	n/a	other	0.771465539932251
19	ica	Independent Component	good	n/a	iclabel	n/a	other	0.44714242219924927
