component	type	description	status	status_description	annotate_method	annotate_author	ic_type
0	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
1	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
2	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
3	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
4	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
5	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
6	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
7	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
8	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
9	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
10	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
11	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
12	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
13	ica	Independent Component	bad	n/a	MEGNet	n/a	heart beat
14	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
15	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
16	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
17	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
18	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
19	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
20	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
21	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
22	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
23	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
24	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
25	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
26	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
27	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
28	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
29	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
30	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
31	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
32	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
33	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
34	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
35	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
36	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
37	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
38	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
39	ica	Independent Component	good	n/a	MEGNet	n/a	brain/other
